t,latitude,longitude,altitude
0,32.99022076006824,-106.9749343002953,1475.0444045845782
1.3333333333333333,32.99031221096228,-106.9749237209379,1549.428142383379
2.6666666666666665,32.99045886445266,-106.97497325048013,1794.7803549640262
4.0,32.99073371613007,-106.97494125423945,2157.57228432588
5.333333333333333,32.99098028516555,-106.97478991475067,2511.3415462360244
6.666666666666666,32.991302050969104,-106.97468761412841,2831.396226935572
8.0,32.99153368452496,-106.97458837802277,3120.1629002357463
9.333333333333332,32.99180960297643,-106.9745123514227,3380.036570834147
10.666666666666666,32.99200741162721,-106.97443097896374,3611.602567895322
12.0,32.99223377834827,-106.97432143549491,3813.5883194511034
13.333333333333332,32.99235245361548,-106.97426273209298,4023.9742642337487
14.666666666666666,32.99262477452007,-106.9741855093592,4177.44802259899
16.0,32.992860300129905,-106.97415046662321,4334.280159088973
17.333333333333332,32.99306370834133,-106.97396074116718,4453.077178980165
18.666666666666664,32.99315602463068,-106.97384283043554,4571.517948915958
20.0,32.99353563567853,-106.9739074369643,4661.147670137135
21.333333333333332,32.99358749088126,-106.97374570784844,4735.441019598206
22.666666666666664,32.99387578465653,-106.97367352215481,4789.291773783005
24.0,32.994006255787035,-106.97365283074325,4826.285141568961
25.333333333333332,32.99429242115534,-106.97344909646489,4840.143486831505
26.666666666666664,32.994471635446764,-106.97350877831113,4849.608839243737
28.0,32.99466707063867,-106.97328449977597,4831.022119271543
29.333333333333332,32.99474640892421,-106.97334801676824,4800.503613240423
30.666666666666664,32.994960560734754,-106.97321334703176,4754.988327633265
32.0,32.99514880197206,-106.97312909288198,4693.720888068611
33.33333333333333,32.99532184828723,-106.97318229971117,4605.854868779811
34.666666666666664,32.99551577775062,-106.9730727310011,4503.621365630976
36.0,32.995642935587355,-106.97295492475436,4395.824461893746
37.33333333333333,32.995861737234115,-106.97292687379775,4277.328184365469
38.666666666666664,32.996030877949494,-106.97279544058732,4136.1590078656045
40.0,32.99608998155452,-106.97274680899429,3978.68325814521
41.33333333333333,32.99633227803498,-106.97263879522598,3801.397433976006
42.666666666666664,32.99644124331029,-106.9726219143667,3615.695305482107
44.0,32.99660346673445,-106.9724763413687,3421.693255534049
45.33333333333333,32.9968587031962,-106.97244026085512,3215.6058716605503
46.666666666666664,32.997065672547734,-106.97236233615138,2996.331468364727
48.0,32.99709904722287,-106.97233984415574,2762.400800526947
49.33333333333333,32.997289739717914,-106.97228854364303,2522.0024912056892
50.666666666666664,32.99728537793466,-106.97216068438436,2268.0288032294297
52.0,32.99757787761433,-106.97214626992749,2000.461468939486
53.33333333333333,32.99756851926836,-106.97213071931328,1730.274533199537
