t,wx,wy,wz
0.99,1.7006317955408161,-1.8113112115209442,-2.628636129528045
1.0,1.7506503777626048,-0.9258758836799187,-3.454474848764386
1.01,1.8017331851380487,-1.4090341034393246,-3.194803911272547
1.02,1.8528159925134924,-1.5633467507193108,-3.8791006850727627
1.03,1.9049630250425913,-1.4143552292075998,-3.7173384617171905
1.04,1.9581742827253452,-1.7580999538381903,-2.8393527099517506
1.05,2.012449765561754,-1.3387952432980892,-3.737558739636637
1.06,2.0667252483981633,-1.0408122002746671,-3.143721103897103
1.07,2.1210007312345724,-1.0706105045770093,-3.173519408199445
1.08,2.1774046643782916,-1.267492158003199,-3.2586574204918515
1.09,2.2338085975220108,-1.118500636491488,-3.303354876945365
1.1,2.2912767558193847,-0.8045542161632396,-2.441332502484751
1.11,2.348744914116759,-1.1099868352622473,-2.5988378252257025
1.12,2.4072772975677883,-0.8652150499215792,-3.028784787302355
1.1300000000000001,2.466873906172473,-1.6633839151628884,-2.7020676651302455
1.1400000000000001,2.5264705147771576,0.052147032529098865,-3.120308150516691
1.1500000000000001,2.5871313485354968,-1.1493631659474852,-2.5562688190794995
1.16,2.6477921822938364,-0.7917835143193788,-2.9053346694783655
1.17,2.709517241205831,-1.429254381358771,-2.3519375895777244
1.18,2.7723065252714805,-0.5619108811298816,-3.384235988623151
1.19,2.83509580933713,-1.022720372662531,-2.8766005903296783
1.2,2.898949318556435,-0.9088482812214373,-4.177083728096185
1.21,2.96280282777574,-0.8300956198509616,-2.1614412870734654
1.22,3.0277205621486996,-0.7513429584804857,-2.5019933362430904
1.23,3.0926382965216592,-1.1674549935596217,-2.6861042878254193
1.24,3.1575560308946193,-0.30330416879169747,-3.178840533967721
1.25,3.2235379904212342,-0.21497348103832595,-1.4888509899634554
1.26,3.290584175101504,-1.0727389548843196,-3.1352073026678626
1.27,3.356566134628119,-0.6906821247221462,-2.7542146976593442
1.28,3.423612319308389,-0.6161863639662907,-3.2001250370408223
1.29,3.490658503988659,-0.29904726817707716,-3.2618500959528167
1.3,3.558768913822584,-0.6566269198051837,-2.0156424410227194
1.31,3.6258150985028537,-0.5491401792860208,-1.55270449918276
1.32,3.693925508336779,-0.553397079900641,-1.7644853047601208
1.33,3.762035918170704,-0.32884557247941937,-2.306175907970556
1.34,3.830146328004629,-0.5512686295933309,-2.471130806787093
1.35,3.897192512684899,-0.36928612831831237,-1.967752309108241
1.36,3.965302922518824,0.11280786628743837,-2.2401939484439413
1.37,4.033413332352749,0.20858813011639546,-1.8996418992743158
1.3800000000000001,4.101523742186674,0.4746444185301652,-1.6250718096313055
1.3900000000000001,4.168569926866944,0.08726646259971647,-2.3572587153459996
1.4000000000000001,4.236680336700869,0.121321667516679,-2.486029958938264
1.41,4.303726521381139,0.2277441828821869,-2.008192864947134
1.42,4.370772706061409,0.2639278381064596,-1.2451434297764423
1.43,4.437818890741679,-0.3767357043938979,-0.9929220683601886
1.44,4.504865075421949,0.6087367878907052,-2.5147640380869514
1.45,4.570847034948564,-0.07981688652413092,-2.0156424410227194
1.46,4.636828994475179,-0.2617993877991494,-1.644227862397097
1.47,4.703875179155449,0.391634856545069,-2.318946609814417
1.48,4.769857138682064,0.4959289216032668,-1.5058785924219367
1.49,4.834774873055023,0.7098381774879376,-1.3281529917615384
1.5,4.900756832581639,-0.06811040983392505,-1.981587236105757
1.51,4.966738792108253,-0.07662421106316568,-1.184482596018103
1.52,5.031656526481213,0.33523092340134986,-1.9124126011181768
1.53,5.097638486007828,0.6544984694978735,-1.0982803585720415
1.54,5.163620445534443,0.012770701843860947,-1.0833812064208703
1.55,5.2296024050610574,0.161762223355572,-1.444153533509942
1.56,5.295584364587673,0.7109024026415928,-0.9801513665163277
1.57,5.361566324114287,0.021284503073101577,-1.779384456911292
1.58,5.427548283640903,0.8066826664705499,-1.6399709617824767
1.59,5.494594468321172,0.4544241406107187,-0.5980945363541543
1.6,5.561640653001443,0.3213959964038338,-0.5736173578200875
1.61,5.629751062835368,0.660883820419804,-1.0322983990454266
1.62,5.696797247515637,0.3150106454819034,-0.5257272259056089
1.6300000000000001,5.765971882503218,0.2681847387210799,-1.6484847630117172
1.6400000000000001,5.8340822923371425,1.3132538396103675,-1.2398223040081668
1.6500000000000001,5.903256927324723,1.1493631659474852,-0.242643335033358
1.6600000000000001,5.972431562312303,0.8407378713875123,-0.6332139664247719
1.67,6.042670422453538,0.7119666277952478,-1.269620608310509
1.68,6.1129092825947735,1.241950754315477,-1.3558228457565706
1.69,6.184212367889663,1.3015473629201615,-0.2224230571139115
1.7,6.254451228030899,1.07912430580625,-0.25860671233818416
1.71,6.325754313325789,0.7109024026415928,-1.1089226101085923
1.72,6.39705739862068,1.3781715739833271,0.026605628841376974
1.73,6.467296258761914,1.510135493036557,-0.4469745645351331
1.74,6.538599344056805,1.6878610936969551,-0.05001858222178871
1.75,6.60883820419804,1.024848822969841,0.28414811602590606
1.76,6.68014128949293,1.5005574666536612,-0.511892298908093
1.77,6.74931592448051,1.131271338335349,0.27137741418204514
1.78,6.8195547846217455,0.9471603867530203,-0.43313963753761714
1.79,6.888729419609326,1.604851531711859,0.3469374000915557
1.8,6.9568398294432505,1.4132910040539448,-0.5853238345102934
1.81,7.023886014123521,0.7375080314829697,0.1106794159801282
1.82,7.090932198803791,1.2898408862299557,-0.12983546874591964
1.83,7.1579783834840605,1.4356397322807015,0.017027602458481263
1.84,7.222896117857021,1.7485219274552946,-0.041504780992548077
1.85,7.287813852229981,1.5005574666536612,0.01915605276579142
1.86,7.351667361449286,2.1231291815418825,-0.8247744940826862
1.87,7.41552087066859,2.251900425134147,0.10961519082647313
1.8800000000000001,7.478310154734239,1.7740633311430165,0.021284503073101577
