t,wx,wy,wz
0,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.17,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.19,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.21,0.0,0.0,0.0
0.22,0.0,0.0,0.0
0.23,0.0,0.0,0.0
0.24,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.27,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.29,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.33,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.36,0.0,0.0,0.0
0.37,0.00033706871721292527,-1.0952048240628113e-06,0.0022120995029479016
0.38,0.0018833892781240215,-3.820261504551367e-06,0.012564899380876099
0.39,0.003473974665804169,-3.0745361749711712e-06,0.023563697159165266
0.4,0.005108113270691835,8.360135782699893e-07,0.03522682440236754
0.41000000000000003,0.006785025398064091,7.529724088049014e-06,0.04757247176079582
0.42,0.008503829792653387,1.6549258817688205e-05,0.06061845659791067
0.43,0.010263584219845082,2.7357025126643637e-05,0.074382371100206
0.44,0.012063261957737716,3.93302836998135e-05,0.0888815191612144
0.45,0.013901812592735464,5.175993468956364e-05,0.10413320563679325
0.46,0.01577797421404921,6.384607353578582e-05,0.12015397128974777
0.47000000000000003,0.017690420734600174,7.469655709477445e-05,0.13696011802910765
0.48,0.019637753756779706,8.33244468984302e-05,0.15456774421371533
0.49,0.021618455515861244,8.864580166717629e-05,0.17299255709491876
0.5,0.023630932376852987,8.947913837152421e-05,0.1922500925197168
0.51,0.02567331133555193,8.446170700789108e-05,0.21235596542838825
0.52,0.027743759611195754,7.231977248899651e-05,0.23332211026191713
0.53,0.029840128422350624,5.1535902341215596e-05,0.2551611390101139
0.54,0.031960198466383205,2.0553275747524567e-05,0.2778844900800487
0.55,0.03410167644362333,-2.223633140289678e-05,0.30150290546507924
0.56,0.03626195398954911,-7.866415117683303e-05,0.3260277682464879
0.5700000000000001,0.03843835938560634,-0.0001505716421354021,0.35146919235200974
0.58,0.040628045428031515,-0.00023988675091730376,0.37783659730030705
0.59,0.0428280512575947,-0.00034860590812656005,0.405139535868596
0.6,0.045035078124524196,-0.00047886630495481655,0.4333865175376773
0.61,0.04724583610545531,-0.0006327531893722916,0.4625852753607491
0.62,0.049456877904874255,-0.0008124095741791188,0.4927437317777297
0.63,0.05166462429798351,-0.0010199504507226705,0.5238681638650858
0.64,0.05386499904304196,-0.0012577103455614907,0.5559652770770663
0.65,0.056053941530331816,-0.0015279245184351704,0.5890415030524478
0.66,0.05822711140590908,-0.0018328247231843555,0.623101524979222
0.67,0.06038001956212335,-0.002174617930671948,0.6581504167432847
0.68,0.0625079791843746,-0.0025554668764518115,0.694193107211816
0.6900000000000001,0.06460601602031801,-0.0029774642902115297,0.7312323082562076
0.7000000000000001,0.06666900234926014,-0.0034426166949403534,0.7692711392118027
0.71,0.06869159253334894,-0.003952811907753192,0.8083121641450934
0.72,0.07066827324882516,-0.0045098052667830665,0.8483580812556551
0.73,0.07259333616275626,-0.005115188983132466,0.8894114232730091
0.74,0.07446075220261374,-0.0057703400475446,0.9314716151906149
0.75,0.07626438475568253,-0.0064764155150048965,0.9745391043947402
0.76,0.07799791183279235,-0.0072343043429617,1.0186137801604371
0.77,0.07965486352428741,-0.00804461469163596,1.0636953324085388
0.78,0.08122867499626944,-0.008907623729558042,1.109784716752559
0.79,0.08271247614807692,-0.009823221973360453,1.1568780864030348
0.8,0.08409937900100484,-0.010790912547088567,1.2049732405496916
0.81,0.08538243126883951,-0.011809754051395716,1.254068177918817
0.8200000000000001,0.08655464709796909,-0.012878332124824032,1.3041612651839716
0.8300000000000001,0.08760889262382135,-0.0139947128010761,1.3552470054282009
0.84,0.0885381153182575,-0.015156394814078648,1.4073211674071389
0.85,0.08933517231015362,-0.016360251146329552,1.460379080047843
0.86,0.0899934981643684,-0.017602698690811224,1.5144193362519995
0.87,0.09050630393570311,-0.01887941591104533,1.5694337149603304
0.88,0.09086684537170657,-0.020185292548716132,1.6254149977996788
0.89,0.09106891057513027,-0.021514619337829825,1.6823574256097336
0.9,0.09110663780076608,-0.022860961785094096,1.740256715777082
0.91,0.09097448565913893,-0.024217106307112195,1.7991049523400575
0.92,0.09066736192891117,-0.025575098287691053,1.858892824236626
0.93,0.09018080009865072,-0.026926221578382155,1.9196123847477384
0.9400000000000001,0.08951124426545035,-0.02826108569350764,1.9812659505567878
0.9500000000000001,0.08865541251628609,-0.029569428139478212,2.0438358102011644
0.96,0.0876108030349815,-0.030840271594540093,2.107303209531347
0.97,0.08637630350914663,-0.032062053082352375,2.1716668574020224
0.98,0.08495170440062005,-0.033222518406680585,2.23691898349805
0.99,0.08333782407401401,-0.034308839324004164,2.303049112645593
1.0,0.08153683079358169,-0.03530711258266593,2.3700460691564085
1.01,0.07955209212947541,-0.036204004313921165,2.4378994376586394
1.02,0.07738862815369849,-0.03698497511526317,2.506595242268931
1.03,0.07505256106594752,-0.03763637085609504,2.576120144543485
1.04,0.07255160197022004,-0.038144052487312306,2.6464606490937967
