t,ax,ay,az
0,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.06,5.1334261130014935,-0.30858981600143487,1.3278391394209759
0.07,24.189445079130685,-1.4541197714407583,6.256969756629768
0.08,43.25549463575002,-2.6002527039183403,11.18869493940766
0.09,62.336144984508906,-3.747263345680256,16.124196840276486
0.1,91.384690604802,-5.49348217707087,23.638047233523533
0.11,93.45380209657593,-5.617864357797271,24.173254551623362
0.12,95.52594949038391,-5.74242903817,24.709247152194486
0.13,97.60052660395321,-5.867139778261441,25.2458682369253
0.14,99.67816839807648,-5.992034747985768,25.78328204813152
0.15,101.7590177025952,-6.117122533389322,26.321525530935123
0.16,97.77277669983249,-5.8774943882672215,25.290423357432097
0.17,93.78022837732141,-5.637487086106956,24.2576896992554
0.18,89.78074024680339,-5.397062605627809,23.223160953648055
0.19,85.77524884252033,-5.156277245473803,22.187079369508616
0.2,81.76433165208631,-4.915165720627226,21.1495943228366
0.21,82.0573602488051,-4.932780786813839,21.225390648940788
0.22,82.3505629604381,-4.950406319711799,21.30123201252925
0.23,82.6441066604581,-4.968052350721797,21.377161577976743
0.24,82.93784166021494,-4.985709881488347,21.453140626025586
0.25,83.23164207867949,-5.003371344822844,21.52913659562325
0.26,83.52550596619514,-5.021036623523991,21.605148982461234
0.27,83.81959032739412,-5.038715155738849,21.68121839818782
0.28,84.11413555853827,-5.0564213926032835,21.757407024971094
0.29,84.40874864253288,-5.0741317083612625,21.83361320293142
0.3,84.70342811349745,-5.09184601489312,21.909836552896387
0.31,84.99818279160725,-5.109564842413224,21.98607935633917
0.32,85.29349865377063,-5.127317404846429,22.062467318616296
0.33,85.58892721837712,-5.145076742253193,22.138884433103232
0.34,85.88442339656858,-5.162840144170341,22.21531903687754
0.35000000000000003,86.17999143388452,-5.180607865813441,22.29177222811291
0.36,86.47593254971324,-5.19839801462839,22.368321921808906
0.37,86.86435044538916,-4.292037727747873,22.236337892708175
0.38,87.1603219848716,-4.3063345638063915,22.314978766969173
0.39,87.45640587440039,-4.320841055884751,22.393490832055207
0.4,87.75261642769694,-4.3355726100791845,22.47186424219865
0.41000000000000003,88.04941023598249,-4.350558011643294,22.550210054018265
0.42,88.34629509038228,-4.365783064469447,22.628386816534125
0.43,88.64326845979839,-4.38125886794044,22.706381784156516
0.44,88.94033498049198,-4.39699738278537,22.78418385833735
0.45,89.23798651573624,-4.4130532482476745,22.861901271201884
0.46,89.53583666422577,-4.429389743925931,22.939434612884096
0.47000000000000003,89.83382206859467,-4.446029254792739,23.01674816253544
0.48,90.13189514181279,-4.462982534784336,23.093816816153623
0.49,90.43007044612278,-4.480264610490931,23.170631523240424
0.5,90.73728218343075,-4.498443176400961,23.249482425304826
0.51,90.8653223506429,-4.506198336358505,23.28168422753592
0.52,90.99334178663483,-4.514329315929064,23.31355785992894
0.53,91.12140594594725,-4.5228575799485835,23.34510720580835
0.54,91.24945399819914,-4.5317886350800975,23.376308539771873
0.55,91.37745918975583,-4.541143834635511,23.407140855375943
0.56,91.50548064613433,-4.550956234023628,23.437602443491958
0.5700000000000001,91.63352204224233,-4.561222002814146,23.46769514252609
0.58,91.76151444069374,-4.571967538116358,23.497385734840115
0.59,91.88955038726743,-4.583231721804761,23.526682541124572
0.6,92.01760533841681,-4.595006733738133,23.555584168862858
0.61,92.14559376513014,-4.607321873680483,23.584054930276334
0.62,92.27363440567309,-4.620221569464977,23.612112067815637
0.63,92.40166949418496,-4.633693397667008,23.63975105747469
0.64,92.52965373399395,-4.647790961789484,23.666940651898592
0.65,92.65774293008693,-4.66251139929289,23.69373601590451
0.66,92.7857507722223,-4.677885213024908,23.72008026399976
0.67,92.91375850526558,-4.693969975609792,23.745982956928007
0.68,93.0418552471617,-4.710739225050809,23.771496374280375
0.6900000000000001,93.16989616706294,-4.728237676173499,23.796575562950387
0.7000000000000001,93.29791243177772,-4.74649262652091,23.821236229698375
0.71,93.42581690190327,-4.7655244271502095,23.84546588156222
0.72,93.55370163279771,-4.785408242932862,23.869282304001302
0.73,93.68173051916523,-4.806091813287328,23.89278016814636
0.74,93.80968859979116,-4.827631659817773,23.91590330820501
0.75,93.93752712839243,-4.850050117277086,23.938660092436127
0.76,94.06529611908678,-4.873374992954213,23.961087559588535
0.77,94.19295892749993,-4.8976745783701086,23.98318603499944
0.78,94.3207290957746,-4.922892535495855,24.005076461528567
0.79,94.448375414228,-4.949083642135095,24.02671561407327
0.8,94.57588599525064,-4.976268307110165,24.048138146379035
0.81,94.70325276544982,-5.004511418388315,24.069368096418156
0.8200000000000001,94.830632402874,-5.033748636321941,24.09052175433458
0.8300000000000001,94.95789491641577,-5.064033789448888,24.111599000893467
0.84,95.08493198424284,-5.095373735336789,24.13262454772673
0.85,95.21182047496603,-5.127783414939738,24.153675146027034
0.86,95.33862414133475,-5.161324235618139,24.17481308117616
0.87,95.46523139963038,-5.195895169556706,24.19610118199418
0.88,95.59164528045127,-5.231545927535736,24.217594152070856
0.89,95.71776126709527,-5.268266627125965,24.23933585518519
0.9,95.84370414689582,-5.306108635917866,24.26142106440481
0.91,95.96944547290845,-5.344952840807415,24.283943068648405
0.92,96.09488899062238,-5.384827149128633,24.30694505622585
0.93,96.21996651757705,-5.42570314775309,24.330491647526024
0.9400000000000001,96.34481166180345,-5.467611701716681,24.354693284072397
0.9500000000000001,96.46937774436174,-5.510406327822219,24.37964042718
0.96,96.59353621537758,-5.554089172187366,24.40537763494371
0.97,96.71728478590335,-5.5986087939711,24.431991575720392
0.98,96.84067868996362,-5.643940425294856,24.459580500555795
